TIMESLICE,YEAR,TECHNOLOGY,REGION,MODE_OF_OPERATION,VALUE
ID,2014,GasExtraction,SIMPLICITY,1,0.55708901219
ID,2014,NGCC,SIMPLICITY,1,0.2796631547799999
ID,2014,TD,SIMPLICITY,1,0.2796631547799999
ID,2015,GasExtraction,SIMPLICITY,1,0.5598568489799999
ID,2015,NGCC,SIMPLICITY,1,0.28105263262
ID,2015,TD,SIMPLICITY,1,0.28105263262
ID,2016,GasExtraction,SIMPLICITY,1,0.57218628104
ID,2016,NGCC,SIMPLICITY,1,0.28724210359999997
ID,2016,TD,SIMPLICITY,1,0.28724210359999997
ID,2017,GasExtraction,SIMPLICITY,1,0.5892965024
ID,2017,NGCC,SIMPLICITY,1,0.29583157115
ID,2017,TD,SIMPLICITY,1,0.29583157115
ID,2018,GasExtraction,SIMPLICITY,1,0.6859189897000001
ID,2018,NGCC,SIMPLICITY,1,0.34433683692999995
ID,2018,TD,SIMPLICITY,1,0.34433683692999995
ID,2019,GasExtraction,SIMPLICITY,1,0.7319656471899999
ID,2019,NGCC,SIMPLICITY,1,0.36745262583
ID,2019,TD,SIMPLICITY,1,0.36745262583
ID,2020,GasExtraction,SIMPLICITY,1,0.7772574370699998
ID,2020,NGCC,SIMPLICITY,1,0.39018947229
ID,2020,TD,SIMPLICITY,1,0.39018947229
ID,2021,GasExtraction,SIMPLICITY,1,0.85123401276
ID,2021,NGCC,SIMPLICITY,1,0.42732631484
ID,2021,TD,SIMPLICITY,1,0.42732631484
ID,2022,GasExtraction,SIMPLICITY,1,0.88822230894
ID,2022,NGCC,SIMPLICITY,1,0.44589474445
ID,2022,TD,SIMPLICITY,1,0.44589474445
ID,2023,GasExtraction,SIMPLICITY,1,0.95263730603
ID,2023,NGCC,SIMPLICITY,1,0.47823157719000003
ID,2023,TD,SIMPLICITY,1,0.47823157719000003
ID,2024,GasExtraction,SIMPLICITY,1,0.9825802100800001
ID,2024,NGCC,SIMPLICITY,1,0.49326314956999995
ID,2024,TD,SIMPLICITY,1,0.49326314956999995
ID,2025,GasExtraction,SIMPLICITY,1,1.0002
ID,2025,GasImport,SIMPLICITY,1,0.007793936808999999
ID,2025,NGCC,SIMPLICITY,1,0.50602105064
ID,2025,TD,SIMPLICITY,1,0.50602105064
ID,2026,GasExtraction,SIMPLICITY,1,1.0002
ID,2026,GasImport,SIMPLICITY,1,0.046795200502
ID,2026,NGCC,SIMPLICITY,1,0.52559999898
ID,2026,TD,SIMPLICITY,1,0.52559999898
ID,2027,GasExtraction,SIMPLICITY,1,1.0002
ID,2027,GasImport,SIMPLICITY,1,0.08705456909899999
ID,2027,NGCC,SIMPLICITY,1,0.5458105236099999
ID,2027,TD,SIMPLICITY,1,0.5458105236099999
ID,2028,GasExtraction,SIMPLICITY,1,1.0002
ID,2028,GasImport,SIMPLICITY,1,0.11599099022599998
ID,2028,NGCC,SIMPLICITY,1,0.5603368449599999
ID,2028,TD,SIMPLICITY,1,0.5603368449599999
ID,2029,GasExtraction,SIMPLICITY,1,1.0002
ID,2029,GasImport,SIMPLICITY,1,0.14165633726899998
ID,2029,NGCC,SIMPLICITY,1,0.57322105462
ID,2029,TD,SIMPLICITY,1,0.57322105462
ID,2030,SOLPV,SIMPLICITY,1,0.5563199917499999
ID,2031,SOLPV,SIMPLICITY,1,0.57227999978
ID,2032,SOLPV,SIMPLICITY,1,0.60035999799
ID,2033,SOLPV,SIMPLICITY,1,0.6166799946699999
ID,2034,SOLPV,SIMPLICITY,1,0.6331199986799999
ID,2035,SOLPV,SIMPLICITY,1,0.6483599960699999
ID,2036,SOLPV,SIMPLICITY,1,0.66659999334
ID,2037,SOLPV,SIMPLICITY,1,0.68784000716
ID,2038,SOLPV,SIMPLICITY,1,0.7084800010000001
ID,2039,SOLPV,SIMPLICITY,1,0.72971999815
ID,2040,SOLPV,SIMPLICITY,1,0.7587600049900001
IN,2014,GasExtraction,SIMPLICITY,1,0.3713926751500001
IN,2014,NGCC,SIMPLICITY,1,0.18644210165
IN,2014,TD,SIMPLICITY,1,0.18644210165
IN,2015,GasExtraction,SIMPLICITY,1,0.3732378951
IN,2015,NGCC,SIMPLICITY,1,0.18736842264
IN,2015,TD,SIMPLICITY,1,0.18736842264
IN,2016,GasExtraction,SIMPLICITY,1,0.38145751427
IN,2016,NGCC,SIMPLICITY,1,0.19149473812
IN,2016,TD,SIMPLICITY,1,0.19149473812
IN,2017,GasExtraction,SIMPLICITY,1,0.39286433305
IN,2017,NGCC,SIMPLICITY,1,0.19722105501000003
IN,2017,TD,SIMPLICITY,1,0.19722105501000003
IN,2018,GasExtraction,SIMPLICITY,1,0.45727932341
IN,2018,NGCC,SIMPLICITY,1,0.22955789843000002
IN,2018,TD,SIMPLICITY,1,0.22955789843000002
IN,2019,GasExtraction,SIMPLICITY,1,0.48797709772000003
IN,2019,NGCC,SIMPLICITY,1,0.24496842341999997
IN,2019,TD,SIMPLICITY,1,0.24496842341999997
IN,2020,GasExtraction,SIMPLICITY,1,0.4998
IN,2020,GasImport,SIMPLICITY,1,0.018371620911
IN,2020,NGCC,SIMPLICITY,1,0.26012631617
IN,2020,TD,SIMPLICITY,1,0.26012631617
IN,2021,GasExtraction,SIMPLICITY,1,0.4998
IN,2021,GasImport,SIMPLICITY,1,0.067689347593
IN,2021,NGCC,SIMPLICITY,1,0.28488420905000006
IN,2021,TD,SIMPLICITY,1,0.28488420905000006
IN,2022,GasExtraction,SIMPLICITY,1,0.4998
IN,2022,GasImport,SIMPLICITY,1,0.0923482126
IN,2022,NGCC,SIMPLICITY,1,0.29726315549
IN,2022,TD,SIMPLICITY,1,0.29726315549
IN,2023,GasExtraction,SIMPLICITY,1,0.4998
IN,2023,GasImport,SIMPLICITY,1,0.13529153673000002
IN,2023,NGCC,SIMPLICITY,1,0.31882105388
IN,2023,TD,SIMPLICITY,1,0.31882105388
IN,2024,GasExtraction,SIMPLICITY,1,0.4998
IN,2024,GasImport,SIMPLICITY,1,0.15525347375999998
IN,2024,NGCC,SIMPLICITY,1,0.32884210219
IN,2024,TD,SIMPLICITY,1,0.32884210219
IN,2025,GasExtraction,SIMPLICITY,1,0.4998
IN,2025,GasImport,SIMPLICITY,1,0.17219596071999999
IN,2025,NGCC,SIMPLICITY,1,0.33734736539000004
IN,2025,TD,SIMPLICITY,1,0.33734736539000004
IN,2026,GasExtraction,SIMPLICITY,1,0.4998
IN,2026,GasImport,SIMPLICITY,1,0.19819679788999997
IN,2026,NGCC,SIMPLICITY,1,0.3504000005799999
IN,2026,TD,SIMPLICITY,1,0.3504000005799999
IN,2027,GasExtraction,SIMPLICITY,1,0.4998
IN,2027,GasImport,SIMPLICITY,1,0.22503638276000001
IN,2027,NGCC,SIMPLICITY,1,0.36387368395
IN,2027,TD,SIMPLICITY,1,0.36387368395
IN,2028,GasExtraction,SIMPLICITY,1,0.4998
IN,2028,GasImport,SIMPLICITY,1,0.24432732996000003
IN,2028,NGCC,SIMPLICITY,1,0.37355789205
IN,2028,TD,SIMPLICITY,1,0.37355789205
IN,2029,GasExtraction,SIMPLICITY,1,0.4998
IN,2029,GasImport,SIMPLICITY,1,0.26143755813
IN,2029,NGCC,SIMPLICITY,1,0.38214737155
IN,2029,TD,SIMPLICITY,1,0.38214737155
IN,2030,GasExtraction,SIMPLICITY,1,0.4998
IN,2030,GasImport,SIMPLICITY,1,0.27787679647
IN,2030,NGCC,SIMPLICITY,1,0.39040000251
IN,2030,TD,SIMPLICITY,1,0.39040000251
IN,2031,GasExtraction,SIMPLICITY,1,0.4998
IN,2031,GasImport,SIMPLICITY,1,0.30018720207
IN,2031,NGCC,SIMPLICITY,1,0.40160000405
IN,2031,TD,SIMPLICITY,1,0.40160000405
IN,2032,Backstop,SIMPLICITY,1,0.031212028526
IN,2032,GasExtraction,SIMPLICITY,1,0.4998
IN,2032,GasImport,SIMPLICITY,1,0.27399339212
IN,2032,NGCC,SIMPLICITY,1,0.38845049929
IN,2032,TD,SIMPLICITY,1,0.38845049929
IN,2033,Backstop,SIMPLICITY,1,0.09010511853
IN,2033,GasExtraction,SIMPLICITY,1,0.4998
IN,2033,GasImport,SIMPLICITY,1,0.17331752858
IN,2033,NGCC,SIMPLICITY,1,0.33791040675
IN,2033,TD,SIMPLICITY,1,0.33791040675
IN,2034,Backstop,SIMPLICITY,1,0.1490806772
IN,2034,GasExtraction,SIMPLICITY,1,0.4998
IN,2034,GasImport,SIMPLICITY,1,0.072636469619
IN,2034,NGCC,SIMPLICITY,1,0.28736770691999997
IN,2034,TD,SIMPLICITY,1,0.28736770691999997
IN,2035,Backstop,SIMPLICITY,1,0.20723149089999998
IN,2035,GasExtraction,SIMPLICITY,1,0.47180731822000005
IN,2035,NGCC,SIMPLICITY,1,0.23685106333
IN,2035,TD,SIMPLICITY,1,0.23685106333
IN,2036,Backstop,SIMPLICITY,1,0.24360595195999998
IN,2036,GasExtraction,SIMPLICITY,1,0.42103341091
IN,2036,NGCC,SIMPLICITY,1,0.21136215463999997
IN,2036,TD,SIMPLICITY,1,0.21136215463999997
IN,2037,Backstop,SIMPLICITY,1,0.2820423046
IN,2037,GasExtraction,SIMPLICITY,1,0.37012974719
IN,2037,NGCC,SIMPLICITY,1,0.18580810535000003
IN,2037,TD,SIMPLICITY,1,0.18580810535000003
IN,2038,Backstop,SIMPLICITY,1,0.32835171509
IN,2038,GasExtraction,SIMPLICITY,1,0.30187876684
IN,2038,NGCC,SIMPLICITY,1,0.15154556584999998
IN,2038,TD,SIMPLICITY,1,0.15154556584999998
IN,2039,Backstop,SIMPLICITY,1,0.37664623122000007
IN,2039,GasExtraction,SIMPLICITY,1,0.23030407483999998
IN,2039,NGCC,SIMPLICITY,1,0.11561449403
IN,2039,TD,SIMPLICITY,1,0.11561449403
IN,2040,Backstop,SIMPLICITY,1,0.4310049873499999
IN,2040,GasExtraction,SIMPLICITY,1,0.15691720799999997
IN,2040,NGCC,SIMPLICITY,1,0.078773699578
IN,2040,TD,SIMPLICITY,1,0.078773699578
SD,2014,GasExtraction,SIMPLICITY,1,0.69636126107
SD,2014,NGCC,SIMPLICITY,1,0.34957895181
SD,2014,TD,SIMPLICITY,1,0.34957895181
SD,2015,GasExtraction,SIMPLICITY,1,0.69982105289
SD,2015,NGCC,SIMPLICITY,1,0.35131578244
SD,2015,TD,SIMPLICITY,1,0.35131578244
SD,2016,GasExtraction,SIMPLICITY,1,0.71523283463
SD,2016,NGCC,SIMPLICITY,1,0.35905262949999994
SD,2016,TD,SIMPLICITY,1,0.35905262949999994
SD,2017,GasExtraction,SIMPLICITY,1,0.7366206279999999
SD,2017,NGCC,SIMPLICITY,1,0.36978947644
SD,2017,TD,SIMPLICITY,1,0.36978947644
SD,2018,GasExtraction,SIMPLICITY,1,0.8573987287899999
SD,2018,NGCC,SIMPLICITY,1,0.4304210503299999
SD,2018,TD,SIMPLICITY,1,0.4304210503299999
SD,2019,GasExtraction,SIMPLICITY,1,0.9149570548199999
SD,2019,NGCC,SIMPLICITY,1,0.45931579478999995
SD,2019,TD,SIMPLICITY,1,0.45931579478999995
SD,2020,GasExtraction,SIMPLICITY,1,0.9715717921699998
SD,2020,NGCC,SIMPLICITY,1,0.48773684453
SD,2020,TD,SIMPLICITY,1,0.48773684453
SD,2021,GasExtraction,SIMPLICITY,1,1.0002
SD,2021,GasImport,SIMPLICITY,1,0.063842525952
SD,2021,NGCC,SIMPLICITY,1,0.53415789355
SD,2021,TD,SIMPLICITY,1,0.53415789355
SD,2022,GasExtraction,SIMPLICITY,1,1.0002
SD,2022,GasImport,SIMPLICITY,1,0.11007789450999998
SD,2022,NGCC,SIMPLICITY,1,0.5573684180599999
SD,2022,TD,SIMPLICITY,1,0.5573684180599999
SD,2023,GasExtraction,SIMPLICITY,1,1.0002
SD,2023,GasImport,SIMPLICITY,1,0.19059662837
SD,2023,NGCC,SIMPLICITY,1,0.5977894673199999
SD,2023,TD,SIMPLICITY,1,0.5977894673199999
SD,2024,GasExtraction,SIMPLICITY,1,1.0002
SD,2024,GasImport,SIMPLICITY,1,0.2280252626
SD,2024,NGCC,SIMPLICITY,1,0.61657894113
SD,2024,TD,SIMPLICITY,1,0.61657894113
SD,2025,GasExtraction,SIMPLICITY,1,1.0002
SD,2025,GasImport,SIMPLICITY,1,0.25979241476
SD,2025,NGCC,SIMPLICITY,1,0.6325263133
SD,2025,TD,SIMPLICITY,1,0.6325263133
SD,2026,GasExtraction,SIMPLICITY,1,1.0002
SD,2026,GasImport,SIMPLICITY,1,0.30854399646
SD,2026,NGCC,SIMPLICITY,1,0.6570000070599998
SD,2026,TD,SIMPLICITY,1,0.6570000070599998
SD,2027,GasExtraction,SIMPLICITY,1,1.0002
SD,2027,GasImport,SIMPLICITY,1,0.35886820928999996
SD,2027,NGCC,SIMPLICITY,1,0.6822631586799999
SD,2027,TD,SIMPLICITY,1,0.6822631586799999
SD,2028,GasExtraction,SIMPLICITY,1,1.0002
SD,2028,GasImport,SIMPLICITY,1,0.39503874195
SD,2028,NGCC,SIMPLICITY,1,0.7004210562000001
SD,2028,TD,SIMPLICITY,1,0.7004210562000001
SD,2029,GasExtraction,SIMPLICITY,1,1.0002
SD,2029,GasImport,SIMPLICITY,1,0.42712042366999997
SD,2029,NGCC,SIMPLICITY,1,0.71652630994
SD,2029,TD,SIMPLICITY,1,0.71652630994
SD,2030,SOLPV,SIMPLICITY,1,0.6954000021899999
SD,2031,SOLPV,SIMPLICITY,1,0.7153500080599999
SD,2032,SOLPV,SIMPLICITY,1,0.75044999332
SD,2033,SOLPV,SIMPLICITY,1,0.77085000584
SD,2034,SOLPV,SIMPLICITY,1,0.7913999983499999
SD,2035,SOLPV,SIMPLICITY,1,0.81045000759
SD,2036,SOLPV,SIMPLICITY,1,0.8332500000099999
SD,2037,SOLPV,SIMPLICITY,1,0.8597999922799999
SD,2038,SOLPV,SIMPLICITY,1,0.88560000125
SD,2039,SOLPV,SIMPLICITY,1,0.9121499935199999
SD,2040,SOLPV,SIMPLICITY,1,0.9484500020699999
SN,2014,GasExtraction,SIMPLICITY,1,0.23212042301000002
SN,2014,NGCC,SIMPLICITY,1,0.11652631249
SN,2014,TD,SIMPLICITY,1,0.11652631249
SN,2015,GasExtraction,SIMPLICITY,1,0.23327368651999997
SN,2015,NGCC,SIMPLICITY,1,0.11710526415
SN,2015,TD,SIMPLICITY,1,0.11710526415
SN,2016,GasExtraction,SIMPLICITY,1,0.23841094746000002
SN,2016,NGCC,SIMPLICITY,1,0.11968420715999999
SN,2016,TD,SIMPLICITY,1,0.11968420715999999
SN,2017,GasExtraction,SIMPLICITY,1,0.24554021128
SN,2017,NGCC,SIMPLICITY,1,0.12326315834
SN,2017,TD,SIMPLICITY,1,0.12326315834
SN,2018,GasExtraction,SIMPLICITY,1,0.28579957608999995
SN,2018,NGCC,SIMPLICITY,1,0.14347368756
SN,2018,TD,SIMPLICITY,1,0.14347368756
