TIMESLICE,YEAR,TECHNOLOGY,REGION,MODE_OF_OPERATION,VALUE
SN,2019,GasExtraction,SIMPLICITY,1,0.30498568191000003
SN,2019,NGCC,SIMPLICITY,1,0.15310526672
SN,2019,TD,SIMPLICITY,1,0.15310526672
SN,2020,GasExtraction,SIMPLICITY,1,0.32385726358999994
SN,2020,NGCC,SIMPLICITY,1,0.16257895073
SN,2020,TD,SIMPLICITY,1,0.16257895073
SN,2021,GasExtraction,SIMPLICITY,1,0.35468084589
SN,2021,NGCC,SIMPLICITY,1,0.17805263378000002
SN,2021,TD,SIMPLICITY,1,0.17805263378000002
SN,2022,GasExtraction,SIMPLICITY,1,0.37009262871
SN,2022,NGCC,SIMPLICITY,1,0.18578947114
SN,2022,TD,SIMPLICITY,1,0.18578947114
SN,2023,GasExtraction,SIMPLICITY,1,0.39693221357999997
SN,2023,NGCC,SIMPLICITY,1,0.19926315451
SN,2023,TD,SIMPLICITY,1,0.19926315451
SN,2024,GasExtraction,SIMPLICITY,1,0.40940842110000003
SN,2024,NGCC,SIMPLICITY,1,0.20552631491000004
SN,2024,TD,SIMPLICITY,1,0.20552631491000004
SN,2025,GasExtraction,SIMPLICITY,1,0.41999747545
SN,2025,NGCC,SIMPLICITY,1,0.21084210441
SN,2025,TD,SIMPLICITY,1,0.21084210441
SN,2026,GasExtraction,SIMPLICITY,1,0.43624799764
SN,2026,NGCC,SIMPLICITY,1,0.21899999828
SN,2026,TD,SIMPLICITY,1,0.21899999828
SN,2027,GasExtraction,SIMPLICITY,1,0.45302273506000007
SN,2027,NGCC,SIMPLICITY,1,0.22742105351
SN,2027,TD,SIMPLICITY,1,0.22742105351
SN,2028,GasExtraction,SIMPLICITY,1,0.46507957706
SN,2028,NGCC,SIMPLICITY,1,0.23347368149
SN,2028,TD,SIMPLICITY,1,0.23347368149
SN,2029,GasExtraction,SIMPLICITY,1,0.47577347279000004
SN,2029,NGCC,SIMPLICITY,1,0.23884210826000002
SN,2029,TD,SIMPLICITY,1,0.23884210826000002
SN,2030,GasExtraction,SIMPLICITY,1,0.486048003
SN,2030,NGCC,SIMPLICITY,1,0.24400000261
SN,2030,TD,SIMPLICITY,1,0.24400000261
SN,2031,GasExtraction,SIMPLICITY,1,0.4998
SN,2031,GasImport,SIMPLICITY,1,0.0001920000026
SN,2031,NGCC,SIMPLICITY,1,0.25100000149
SN,2031,TD,SIMPLICITY,1,0.25100000149
SN,2032,Backstop,SIMPLICITY,1,0.031212028526
SN,2032,GasExtraction,SIMPLICITY,1,0.45907835351
SN,2032,NGCC,SIMPLICITY,1,0.23046102037
SN,2032,TD,SIMPLICITY,1,0.23046102037
SN,2033,Backstop,SIMPLICITY,1,0.09010511853
SN,2033,GasExtraction,SIMPLICITY,1,0.34984738005
SN,2033,NGCC,SIMPLICITY,1,0.17562619641
SN,2033,TD,SIMPLICITY,1,0.17562619641
SN,2034,Backstop,SIMPLICITY,1,0.1490806772
SN,2034,GasExtraction,SIMPLICITY,1,0.24054830051
SN,2034,NGCC,SIMPLICITY,1,0.12075717779999999
SN,2034,TD,SIMPLICITY,1,0.12075717779999999
SN,2035,Backstop,SIMPLICITY,1,0.20723149089999998
SN,2035,GasExtraction,SIMPLICITY,1,0.13193018181
SN,2035,NGCC,SIMPLICITY,1,0.066230009895
SN,2035,TD,SIMPLICITY,1,0.066230009895
SN,2036,Backstop,SIMPLICITY,1,0.24360595195999998
SN,2036,GasExtraction,SIMPLICITY,1,0.071594670672
SN,2036,NGCC,SIMPLICITY,1,0.035941099474
SN,2036,TD,SIMPLICITY,1,0.035941099474
SN,2037,Backstop,SIMPLICITY,1,0.2820423046
SN,2037,GasExtraction,SIMPLICITY,1,0.009556774927
SN,2037,NGCC,SIMPLICITY,1,0.0047975776177000004
SN,2037,TD,SIMPLICITY,1,0.0047975776177000004
SN,2038,Backstop,SIMPLICITY,1,0.29519999775
SN,2039,Backstop,SIMPLICITY,1,0.304049998
SN,2040,Backstop,SIMPLICITY,1,0.31614999773
WD,2014,GasExtraction,SIMPLICITY,1,1.8569633517600002
WD,2014,NGCC,SIMPLICITY,1,0.9322105362899998
WD,2014,TD,SIMPLICITY,1,0.9322105362899998
WD,2015,GasExtraction,SIMPLICITY,1,1.8661894623899997
WD,2015,NGCC,SIMPLICITY,1,0.9368421064199999
WD,2015,TD,SIMPLICITY,1,0.9368421064199999
WD,2016,GasExtraction,SIMPLICITY,1,1.9072875855
WD,2016,NGCC,SIMPLICITY,1,0.9574736763899999
WD,2016,TD,SIMPLICITY,1,0.9574736763899999
WD,2017,GasExtraction,SIMPLICITY,1,1.96432168152
WD,2017,NGCC,SIMPLICITY,1,0.9861052796099999
WD,2017,TD,SIMPLICITY,1,0.9861052796099999
WD,2018,GasExtraction,SIMPLICITY,1,1.9998
WD,2018,GasImport,SIMPLICITY,1,0.286596630804
WD,2018,NGCC,SIMPLICITY,1,1.1477894762399998
WD,2018,TD,SIMPLICITY,1,1.1477894762399998
WD,2019,GasExtraction,SIMPLICITY,1,1.9998
WD,2019,GasImport,SIMPLICITY,1,0.44008548704999995
WD,2019,NGCC,SIMPLICITY,1,1.22484210354
WD,2019,TD,SIMPLICITY,1,1.22484210354
WD,2020,GasExtraction,SIMPLICITY,1,1.9998
WD,2020,GasImport,SIMPLICITY,1,0.59105812161
WD,2020,NGCC,SIMPLICITY,1,1.3006315904999999
WD,2020,TD,SIMPLICITY,1,1.3006315904999999
WD,2021,GasExtraction,SIMPLICITY,1,1.9998
WD,2021,GasImport,SIMPLICITY,1,0.83764672695
WD,2021,NGCC,SIMPLICITY,1,1.4244210436499998
WD,2021,TD,SIMPLICITY,1,1.4244210436499998
WD,2022,GasExtraction,SIMPLICITY,1,1.9998
WD,2022,GasImport,SIMPLICITY,1,0.9609410629499999
WD,2022,NGCC,SIMPLICITY,1,1.4863157868899997
WD,2022,TD,SIMPLICITY,1,1.4863157868899997
WD,2023,GasExtraction,SIMPLICITY,1,1.9998
WD,2023,GasImport,SIMPLICITY,1,1.1756576891400001
WD,2023,NGCC,SIMPLICITY,1,1.59410527353
WD,2023,TD,SIMPLICITY,1,1.59410527353
WD,2024,GasExtraction,SIMPLICITY,1,1.9998
WD,2024,GasImport,SIMPLICITY,1,1.27546737384
WD,2024,NGCC,SIMPLICITY,1,1.64421052917
WD,2024,TD,SIMPLICITY,1,1.64421052917
WD,2025,GasExtraction,SIMPLICITY,1,1.9998
WD,2025,GasImport,SIMPLICITY,1,1.3601798017499998
WD,2025,NGCC,SIMPLICITY,1,1.68673684278
WD,2025,TD,SIMPLICITY,1,1.68673684278
WD,2026,GasExtraction,SIMPLICITY,1,1.9998
WD,2026,GasImport,SIMPLICITY,1,1.4901840000299997
WD,2026,NGCC,SIMPLICITY,1,1.75200001581
WD,2026,TD,SIMPLICITY,1,1.75200001581
WD,2027,GasExtraction,SIMPLICITY,1,1.9998
WD,2027,GasImport,SIMPLICITY,1,1.6243818789
WD,2027,NGCC,SIMPLICITY,1,1.81936841163
WD,2027,TD,SIMPLICITY,1,1.81936841163
WD,2028,GasExtraction,SIMPLICITY,1,1.9998
WD,2028,GasImport,SIMPLICITY,1,1.72083663246
WD,2028,NGCC,SIMPLICITY,1,1.86778946904
WD,2028,TD,SIMPLICITY,1,1.86778946904
WD,2029,GasExtraction,SIMPLICITY,1,1.9998
WD,2029,GasImport,SIMPLICITY,1,1.80638777649
WD,2029,NGCC,SIMPLICITY,1,1.9107368405399998
WD,2029,TD,SIMPLICITY,1,1.9107368405399998
WD,2030,GasExtraction,SIMPLICITY,1,0.79208318376
WD,2030,NGCC,SIMPLICITY,1,0.3976321328099999
WD,2030,SOLPV,SIMPLICITY,1,1.47664948695
WD,2030,TD,SIMPLICITY,1,0.3976321328099999
WD,2031,GasExtraction,SIMPLICITY,1,0.300052798386
WD,2031,NGCC,SIMPLICITY,1,0.15062891560199998
WD,2031,SOLPV,SIMPLICITY,1,1.7645025321
WD,2031,TD,SIMPLICITY,1,0.15062891560199998
WD,2032,SOLPV,SIMPLICITY,1,2.00119999332
WD,2033,SOLPV,SIMPLICITY,1,2.05559998611
WD,2034,SOLPV,SIMPLICITY,1,2.11040000556
WD,2035,SOLPV,SIMPLICITY,1,2.1611999917199998
WD,2036,SOLPV,SIMPLICITY,1,2.22200001111
WD,2037,SOLPV,SIMPLICITY,1,2.29279999707
WD,2038,SOLPV,SIMPLICITY,1,2.3616000163799997
WD,2039,SOLPV,SIMPLICITY,1,2.4324000023399996
WD,2040,SOLPV,SIMPLICITY,1,2.52919998804
WN,2014,GasExtraction,SIMPLICITY,1,0.92848169254
WN,2014,NGCC,SIMPLICITY,1,0.46610526907999994
WN,2014,TD,SIMPLICITY,1,0.46610526907999994
WN,2015,GasExtraction,SIMPLICITY,1,0.9330947316299999
WN,2015,NGCC,SIMPLICITY,1,0.46842104880999996
WN,2015,TD,SIMPLICITY,1,0.46842104880999996
WN,2016,GasExtraction,SIMPLICITY,1,0.9536437906199998
WN,2016,NGCC,SIMPLICITY,1,0.47873684488999996
WN,2016,TD,SIMPLICITY,1,0.47873684488999996
WN,2017,GasExtraction,SIMPLICITY,1,0.9821608428899999
WN,2017,NGCC,SIMPLICITY,1,0.49305262414
WN,2017,TD,SIMPLICITY,1,0.49305262414
WN,2018,GasExtraction,SIMPLICITY,1,1.0002
WN,2018,GasImport,SIMPLICITY,1,0.142998315611
WN,2018,NGCC,SIMPLICITY,1,0.5738947393299999
WN,2018,TD,SIMPLICITY,1,0.5738947393299999
WN,2019,GasExtraction,SIMPLICITY,1,1.0002
WN,2019,GasImport,SIMPLICITY,1,0.21974273976
WN,2019,NGCC,SIMPLICITY,1,0.6124210597199999
WN,2019,TD,SIMPLICITY,1,0.6124210597199999
WN,2020,GasExtraction,SIMPLICITY,1,1.0002
WN,2020,GasImport,SIMPLICITY,1,0.29522905067
WN,2020,NGCC,SIMPLICITY,1,0.6503157871499999
WN,2020,TD,SIMPLICITY,1,0.6503157871499999
WN,2021,GasExtraction,SIMPLICITY,1,1.0002
WN,2021,GasImport,SIMPLICITY,1,0.41852337126999994
WN,2021,NGCC,SIMPLICITY,1,0.7122105302899999
WN,2021,TD,SIMPLICITY,1,0.7122105302899999
WN,2022,GasExtraction,SIMPLICITY,1,1.0002
WN,2022,GasImport,SIMPLICITY,1,0.48017053156999995
WN,2022,NGCC,SIMPLICITY,1,0.7431579018599999
WN,2022,TD,SIMPLICITY,1,0.7431579018599999
WN,2023,GasExtraction,SIMPLICITY,1,1.0002
WN,2023,GasImport,SIMPLICITY,1,0.58752884894
WN,2023,NGCC,SIMPLICITY,1,0.7970526286499999
WN,2023,TD,SIMPLICITY,1,0.7970526286499999
WN,2024,GasExtraction,SIMPLICITY,1,1.0002
WN,2024,GasImport,SIMPLICITY,1,0.6374336779099999
WN,2024,NGCC,SIMPLICITY,1,0.82210525484
WN,2024,TD,SIMPLICITY,1,0.82210525484
WN,2025,GasExtraction,SIMPLICITY,1,1.0002
WN,2025,GasImport,SIMPLICITY,1,0.67978989746
WN,2025,NGCC,SIMPLICITY,1,0.8433684232900001
WN,2025,TD,SIMPLICITY,1,0.8433684232900001
WN,2026,GasExtraction,SIMPLICITY,1,1.0002
WN,2026,GasImport,SIMPLICITY,1,0.74479199528
WN,2026,NGCC,SIMPLICITY,1,0.8759999982999999
WN,2026,TD,SIMPLICITY,1,0.8759999982999999
WN,2027,GasExtraction,SIMPLICITY,1,1.0002
WN,2027,GasImport,SIMPLICITY,1,0.8118909457199999
WN,2027,NGCC,SIMPLICITY,1,0.90968421713
WN,2027,TD,SIMPLICITY,1,0.90968421713
WN,2028,GasExtraction,SIMPLICITY,1,1.0002
WN,2028,GasImport,SIMPLICITY,1,0.8601183225999999
WN,2028,NGCC,SIMPLICITY,1,0.9338947416
WN,2028,TD,SIMPLICITY,1,0.9338947416
WN,2029,GasExtraction,SIMPLICITY,1,1.0002
WN,2029,GasImport,SIMPLICITY,1,0.9028938926699999
WN,2029,NGCC,SIMPLICITY,1,0.9553684188099999
WN,2029,TD,SIMPLICITY,1,0.9553684188099999
WN,2030,GasExtraction,SIMPLICITY,1,1.0002
WN,2030,GasImport,SIMPLICITY,1,0.9439919939799999
WN,2030,NGCC,SIMPLICITY,1,0.9759999943000001
WN,2030,TD,SIMPLICITY,1,0.9759999943000001
WN,2031,GasExtraction,SIMPLICITY,1,1.0002
WN,2031,GasImport,SIMPLICITY,1,0.9997679969499998
WN,2031,NGCC,SIMPLICITY,1,1.00399999318
WN,2031,TD,SIMPLICITY,1,1.00399999318
WN,2032,Backstop,SIMPLICITY,1,0.062461526474
WN,2032,GasExtraction,SIMPLICITY,1,1.0002
WN,2032,GasImport,SIMPLICITY,1,0.96692824698
WN,2032,NGCC,SIMPLICITY,1,0.9875141800099999
WN,2032,TD,SIMPLICITY,1,0.9875141800099999
WN,2033,Backstop,SIMPLICITY,1,0.18031840647
WN,2033,GasExtraction,SIMPLICITY,1,1.0002
WN,2033,GasImport,SIMPLICITY,1,0.7768351026199999
WN,2033,NGCC,SIMPLICITY,1,0.8920858981699998
WN,2033,TD,SIMPLICITY,1,0.8920858981699998
WN,2034,Backstop,SIMPLICITY,1,0.2983403228
WN,2034,GasExtraction,SIMPLICITY,1,1.0002
WN,2034,GasImport,SIMPLICITY,1,0.58681522291
WN,2034,NGCC,SIMPLICITY,1,0.79669439035
WN,2034,TD,SIMPLICITY,1,0.79669439035
WN,2035,Backstop,SIMPLICITY,1,0.4147117590999999
WN,2035,GasExtraction,SIMPLICITY,1,1.0002
WN,2035,GasImport,SIMPLICITY,1,0.39606249666
WN,2035,NGCC,SIMPLICITY,1,0.7009349923
WN,2035,TD,SIMPLICITY,1,0.7009349923
WN,2036,Backstop,SIMPLICITY,1,0.48750434804
WN,2036,GasExtraction,SIMPLICITY,1,1.0002
WN,2036,GasImport,SIMPLICITY,1,0.3071719221
WN,2036,NGCC,SIMPLICITY,1,0.6563112026599999
WN,2036,TD,SIMPLICITY,1,0.6563112026599999
WN,2037,Backstop,SIMPLICITY,1,0.5644231954
WN,2037,GasExtraction,SIMPLICITY,1,1.0002
WN,2037,GasImport,SIMPLICITY,1,0.22011348056
WN,2037,NGCC,SIMPLICITY,1,0.6126071636
WN,2037,TD,SIMPLICITY,1,0.6126071636
WN,2038,Backstop,SIMPLICITY,1,0.6570976099099999
WN,2038,GasExtraction,SIMPLICITY,1,1.0002
WN,2038,GasImport,SIMPLICITY,1,0.097921233664
WN,2038,NGCC,SIMPLICITY,1,0.5512656810900001
WN,2038,TD,SIMPLICITY,1,0.5512656810900001
WN,2039,Backstop,SIMPLICITY,1,0.7537446187800001
WN,2039,GasExtraction,SIMPLICITY,1,0.96969591707
WN,2039,NGCC,SIMPLICITY,1,0.4867951395599999
WN,2039,TD,SIMPLICITY,1,0.4867951395599999
WN,2040,Backstop,SIMPLICITY,1,0.8625273876499998
WN,2040,GasExtraction,SIMPLICITY,1,0.8430827828399998
WN,2040,NGCC,SIMPLICITY,1,0.42323432994
WN,2040,TD,SIMPLICITY,1,0.42323432994
