REGION,TECHNOLOGY,FUEL,YEAR,VALUE
SIMPLICITY,GasExtraction,GAS,2014,4.64240841572
SIMPLICITY,GasExtraction,GAS,2015,4.66547367751
SIMPLICITY,GasExtraction,GAS,2016,4.76821895352
SIMPLICITY,GasExtraction,GAS,2017,4.91080419914
SIMPLICITY,GasExtraction,GAS,2018,5.32616532314
SIMPLICITY,GasExtraction,GAS,2019,5.492951210559999
SIMPLICITY,GasExtraction,GAS,2020,5.62547060014
SIMPLICITY,GasExtraction,GAS,2021,5.74535112865
SIMPLICITY,GasExtraction,GAS,2022,5.80056809717
SIMPLICITY,GasExtraction,GAS,2023,5.90027328937
SIMPLICITY,GasExtraction,GAS,2024,5.92539866081
SIMPLICITY,GasExtraction,GAS,2025,5.9368187826
SIMPLICITY,GasExtraction,GAS,2026,5.954731439670001
SIMPLICITY,GasExtraction,GAS,2027,5.973168311969999
SIMPLICITY,GasExtraction,GAS,2028,5.90329039099
SIMPLICITY,GasExtraction,GAS,2029,3.97310768965
SIMPLICITY,GasExtraction,GAS,2030,2.9459190863799996
SIMPLICITY,GasExtraction,GAS,2031,3.03164638627
SIMPLICITY,GasExtraction,GAS,2032,3.1884569969099994
SIMPLICITY,GasExtraction,GAS,2033,2.79999998403
SIMPLICITY,GasExtraction,GAS,2034,2.399999995224
SIMPLICITY,GasExtraction,GAS,2035,1.2001346000000002
SIMPLICITY,GasExtraction,GAS,2036,1.2001142792700001
SIMPLICITY,GasExtraction,GAS,2037,1.2000904245
SIMPLICITY,GasExtraction,GAS,2038,1.2000236444799999
SIMPLICITY,GasExtraction,GAS,2039,1.19999998975
SIMPLICITY,GasExtraction,GAS,2040,0.99999999398
SIMPLICITY,GasImport,GAS,2018,0.4893442239629999
SIMPLICITY,GasImport,GAS,2019,0.73952306729
SIMPLICITY,GasImport,GAS,2020,1.017537953157
SIMPLICITY,GasImport,GAS,2021,1.58047429279
SIMPLICITY,GasImport,GAS,2022,1.850079460529
SIMPLICITY,GasImport,GAS,2023,2.33692486319
SIMPLICITY,GasImport,GAS,2024,2.577944977438
SIMPLICITY,GasImport,GAS,2025,2.7946613692169997
SIMPLICITY,GasImport,GAS,2026,3.1350018947
SIMPLICITY,GasImport,GAS,2027,3.485302337126999
SIMPLICITY,GasImport,GAS,2028,2.81935106072
SIMPLICITY,GridExp,FEL2,2018,0.29991360150557994
SIMPLICITY,GridExp,FEL2,2019,0.39991360074528
SIMPLICITY,GridExp,FEL2,2020,0.49985600091522003
SIMPLICITY,GridExp,FEL2,2021,0.6997984023748598
SIMPLICITY,GridExp,FEL2,2022,0.7497840017143601
SIMPLICITY,GridExp,FEL2,2023,0.8997408051997999
SIMPLICITY,GridExp,FEL2,2024,0.9497408184853597
SIMPLICITY,GridExp,FEL2,2025,0.9996313733829401
SIMPLICITY,GridExp,FEL2,2026,1.09963136510488
SIMPLICITY,GridExp,FEL2,2027,1.19963137459704
SIMPLICITY,GridExp,FEL2,2028,1.2496313557672998
SIMPLICITY,GridExp,FEL2,2029,1.2796313741240999
SIMPLICITY,GridExp,FEL2,2030,1.2995392023419
SIMPLICITY,GridExp,FEL2,2031,1.34953921767336
SIMPLICITY,GridExp,FEL2,2032,1.4995392165366
SIMPLICITY,GridExp,FEL2,2033,1.549539210685
SIMPLICITY,GridExp,FEL2,2034,1.5995392048416
SIMPLICITY,GridExp,FEL2,2035,1.6385922724128
SIMPLICITY,GridExp,FEL2,2036,1.6985922544652001
SIMPLICITY,GridExp,FEL2,2037,1.7785922806479997
SIMPLICITY,GridExp,FEL2,2038,1.8486786714047998
SIMPLICITY,GridExp,FEL2,2039,1.9186786755223997
SIMPLICITY,GridExp,FEL2,2040,2.0487362778361997
SIMPLICITY,NGCC,SEC_EL,2014,2.3305263260999998
SIMPLICITY,NGCC,SEC_EL,2015,2.3421052570799996
SIMPLICITY,NGCC,SEC_EL,2016,2.3936841996599996
SIMPLICITY,NGCC,SEC_EL,2017,2.46526316469
SIMPLICITY,NGCC,SEC_EL,2018,2.91943250387
SIMPLICITY,NGCC,SEC_EL,2019,3.12875213838
SIMPLICITY,NGCC,SEC_EL,2020,3.3348436697799997
SIMPLICITY,NGCC,SEC_EL,2021,3.6776232352599996
SIMPLICITY,NGCC,SEC_EL,2022,3.8406865196599993
SIMPLICITY,NGCC,SEC_EL,2023,4.13513961688
SIMPLICITY,NGCC,SEC_EL,2024,4.26874680327
SIMPLICITY,NGCC,SEC_EL,2025,4.383273184249999
SIMPLICITY,NGCC,SEC_EL,2026,4.5631191361
SIMPLICITY,NGCC,SEC_EL,2027,4.74822826491
SIMPLICITY,NGCC,SEC_EL,2028,4.37883605973
SIMPLICITY,NGCC,SEC_EL,2029,1.9945319829089998
SIMPLICITY,NGCC,SEC_EL,2030,1.4788750450619998
SIMPLICITY,NGCC,SEC_EL,2031,1.521910833805
SIMPLICITY,NGCC,SEC_EL,2032,1.60063102442
SIMPLICITY,NGCC,SEC_EL,2033,1.4056224934119999
SIMPLICITY,NGCC,SEC_EL,2034,1.204819272772
SIMPLICITY,NGCC,SEC_EL,2035,0.6024772
SIMPLICITY,NGCC,SEC_EL,2036,0.6024669979599999
SIMPLICITY,NGCC,SEC_EL,2037,0.6024550289
SIMPLICITY,NGCC,SEC_EL,2038,0.6024215055300001
SIMPLICITY,NGCC,SEC_EL,2039,0.60240961982
SIMPLICITY,NGCC,SEC_EL,2040,0.5020080469099999
SIMPLICITY,SOLPV,FEL2,2018,8.6397841019e-05
SIMPLICITY,SOLPV,FEL2,2019,8.6397841019e-05
SIMPLICITY,SOLPV,FEL2,2020,0.000143996405587
SIMPLICITY,SOLPV,FEL2,2021,0.00020159496515499998
SIMPLICITY,SOLPV,FEL2,2022,0.00021599460504699998
SIMPLICITY,SOLPV,FEL2,2023,0.00025919352639
SIMPLICITY,SOLPV,FEL2,2024,0.00025919352639
SIMPLICITY,SOLPV,FEL2,2025,0.000368630790236
SIMPLICITY,SOLPV,FEL2,2026,0.000368630790236
SIMPLICITY,SOLPV,FEL2,2027,0.000368630790236
SIMPLICITY,SOLPV,FEL2,2028,0.000368630790236
SIMPLICITY,SOLPV,FEL2,2029,0.000368630790236
SIMPLICITY,SOLPV,FEL2,2030,0.00046078849154499997
SIMPLICITY,SOLPV,FEL2,2031,0.00046078849154499997
SIMPLICITY,SOLPV,FEL2,2032,0.00046078849154499997
SIMPLICITY,SOLPV,FEL2,2033,0.00046078849154499997
SIMPLICITY,SOLPV,FEL2,2034,0.00046078849154499997
SIMPLICITY,SOLPV,FEL2,2035,0.00140772702161
SIMPLICITY,SOLPV,FEL2,2036,0.00140772702161
SIMPLICITY,SOLPV,FEL2,2037,0.00140772702161
SIMPLICITY,SOLPV,FEL2,2038,0.00132132917559
SIMPLICITY,SOLPV,FEL2,2039,0.00132132917559
SIMPLICITY,SOLPV,FEL2,2040,0.00126373062269
SIMPLICITY,TD,FEL1,2014,2.2140000097949994
SIMPLICITY,TD,FEL1,2015,2.2249999942259997
SIMPLICITY,TD,FEL1,2016,2.273999989677
SIMPLICITY,TD,FEL1,2017,2.3420000064554998
SIMPLICITY,TD,FEL1,2018,2.4259999941325
SIMPLICITY,TD,FEL1,2019,2.5090000019294996
SIMPLICITY,TD,FEL1,2020,2.5890000226054997
SIMPLICITY,TD,FEL1,2021,2.6830000148429995
SIMPLICITY,TD,FEL1,2022,2.7800000021149995
SIMPLICITY,TD,FEL1,2023,2.8860000061539997
SIMPLICITY,TD,FEL1,2024,2.9550000028124996
SIMPLICITY,TD,FEL1,2025,3.0059999975909992
SIMPLICITY,TD,FEL1,2026,3.0610000068609997
SIMPLICITY,TD,FEL1,2027,3.1210000184065
SIMPLICITY,TD,FEL1,2028,3.1859999768234997
SIMPLICITY,TD,FEL1,2029,3.257999992266499
SIMPLICITY,TD,FEL1,2030,3.3360000136149996
SIMPLICITY,TD,FEL1,2031,3.419000029334999
SIMPLICITY,TD,FEL1,2032,3.5029999932524998
SIMPLICITY,TD,FEL1,2033,3.5890000119204997
SIMPLICITY,TD,FEL1,2034,3.6759999946225
SIMPLICITY,TD,FEL1,2035,3.7629999852474993
SIMPLICITY,TD,FEL1,2036,3.8550000098209996
SIMPLICITY,TD,FEL1,2037,3.9519999812564994
SIMPLICITY,TD,FEL1,2038,4.053999978726999
SIMPLICITY,TD,FEL1,2039,4.161000018059499
SIMPLICITY,TD,FEL1,2040,4.272999996340499
SIMPLICITY,WIND,SEC_EL,2028,0.49878884
SIMPLICITY,WIND,SEC_EL,2029,2.9954678
SIMPLICITY,WIND,SEC_EL,2030,3.6175078111000007
SIMPLICITY,WIND,SEC_EL,2031,3.7228160192399997
SIMPLICITY,WIND,SEC_EL,2032,3.9154438011599995
SIMPLICITY,WIND,SEC_EL,2033,4.2619542385599996
SIMPLICITY,WIND,SEC_EL,2034,4.61531195516
SIMPLICITY,WIND,SEC_EL,2035,5.356858658429999
SIMPLICITY,WIND,SEC_EL,2036,5.526881718079999
SIMPLICITY,WIND,SEC_EL,2037,5.7265599277699994
SIMPLICITY,WIND,SEC_EL,2038,5.9194331027699985
SIMPLICITY,WIND,SEC_EL,2039,6.11744237584
SIMPLICITY,WIND,SEC_EL,2040,6.494345594829998
